종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"476080","M83","KOSDAQ","오락·문화","4905","0","0.00","39617685000"
"086960","MDS테크","KOSDAQ","IT 서비스","2500","-80","-3.10","105287795000"
"160550","NEW","KOSDAQ","오락·문화","1275","-21","-1.62","35580285150"
"053290","NE능률","KOSDAQ","오락·문화","1469","18","1.24","24277144983"
"060250","NHN KCP","KOSDAQ","금융","15480","100","0.65","621686258280"
"104200","NHN벅스","KOSDAQ","IT 서비스","3195","0","0.00","47374022250"
"054050","NH농우바이오","KOSDAQ","농업, 임업 및 어업","7300","20","0.27","117023095300"
"063570","NICE인프라","KOSDAQ","일반서비스","3520","45","1.29","120200002560"
"222160","NPX","KOSDAQ","기계·장비","8040","0","0.00","79551289560"
"024940","PN풍년","KOSDAQ","유통","2375","30","1.28","23750000000"
"332570","PS일렉트로닉스","KOSDAQ","전기·전자","7370","-190","-2.51","344264219310"
"218410","RFHIC","KOSDAQ","전기·전자","78000","-4800","-5.80","2071168476000"
"327260","RF머트리얼즈","KOSDAQ","전기·전자","65000","-2600","-3.85","552183775000"
"474610","RF시스템즈","KOSDAQ","금속","9700","60","0.62","138784185600"
"091340","S&K폴리텍","KOSDAQ","전기·전자","2430","20","0.83","28440042030"
"419530","SAMG엔터","KOSDAQ","오락·문화","30200","2500","9.03","308261577400"
"019550","SBI인베스트먼트","KOSDAQ","금융","1006","8","0.80","81519486722"
"246960","SCL사이언스","KOSDAQ","제약","1849","106","6.08","62897519903"
"099220","SDN","KOSDAQ","유통","1050","1","0.10","68191567500"
"036540","SFA반도체","KOSDAQ","전기·전자","7330","130","1.81","1205494020990"
"255220","SG","KOSDAQ","비금속","2305","130","5.98","252543411110"
"040610","SG&G","KOSDAQ","운송장비·부품","3240","35","1.09","55221257520"
"184230","SGA솔루션즈","KOSDAQ","IT 서비스","2080","15","0.73","39286996320"
"016250","SGC E&C","KOSDAQ","건설","12160","-170","-1.38","61249749760"
"357880","SKAI","KOSDAQ","IT 서비스","4075","-90","-2.16","215730695600"
"048550","SM C&C","KOSDAQ","일반서비스","1289","88","7.33","124665145180"
"063440","SM Life Design","KOSDAQ","출판·매체복제","1197","33","2.84","54247278708"
"067160","SOOP","KOSDAQ","IT 서비스","48500","200","0.41","557496199500"
"289080","SV인베스트먼트","KOSDAQ","금융","2430","-75","-2.99","146135906190"
"041930","SY동아","KOSDAQ","화학","5530","-40","-0.72","84056000000"
"013720","THE CUBE&","KOSDAQ","운송장비·부품","531","31","6.20","32299743933"
"089230","THE E&M","KOSDAQ","IT 서비스","2410","175","7.83","90185463140"
"032540","TJ미디어","KOSDAQ","전기·전자","3495","-40","-1.13","73036458435"
"048770","TPC로보틱스","KOSDAQ","기계·장비","4325","-70","-1.59","67893811075"
"246690","TS인베스트먼트","KOSDAQ","금융","1317","0","0.00","62631711633"
"317240","TS트릴리온","KOSDAQ","화학","1177","76","6.90","34340988847"
"057030","YBM넷","KOSDAQ","일반서비스","2220","-5","-0.22","36214187340"
"040300","YTN","KOSDAQ","오락·문화","2425","85","3.63","115616676500"
"051390","YW","KOSDAQ","유통","4535","0","0.00","51496593880"
"052220","iMBC","KOSDAQ","오락·문화","2250","60","2.74","51750000000"
"079940","가비아","KOSDAQ","IT 서비스","31350","600","1.95","420738443400"
"078890","가온그룹","KOSDAQ","전기·전자","6180","280","4.75","113866147740"
"399720","가온칩스","KOSDAQ","전기·전자","54700","-1300","-2.32","647584766800"
"036620","감성코퍼레이션","KOSDAQ","유통","5230","360","7.39","473334722330"
"198440","강동씨앤엘","KOSDAQ","비금속","1430","330","30.00","87132611280"
"217730","강스템바이오텍","KOSDAQ","제약","2700","-15","-0.55","253946202300"
"114190","강원에너지","KOSDAQ","전기·전자","10300","-150","-1.44","269067291400"
"094480","갤럭시아머니트리","KOSDAQ","IT 서비스","6160","-150","-2.38","241655802080"
"039240","경남스틸","KOSDAQ","금속","2285","65","2.93","61648395140"
"053950","경남제약","KOSDAQ","제약","2015","52","2.65","31493384065"
"011040","경동제약","KOSDAQ","제약","5230","-10","-0.19","160920646180"
"024910","경창산업","KOSDAQ","운송장비·부품","1691","2","0.12","60569937455"
"049720","고려신용정보","KOSDAQ","일반서비스","9930","0","0.00","141999000000"
"014570","고려제약","KOSDAQ","제약","3470","35","1.02","38170000000"
"348150","고바이오랩","KOSDAQ","일반서비스","4130","170","4.29","80200011570"
"950190","고스트스튜디오","KOSDAQ","IT 서비스","9510","60","0.63","123792231090"
"098460","고영","KOSDAQ","기계·장비","35500","-250","-0.70","2437243802500"
"035290","골드앤에스","KOSDAQ","오락·문화","2635","60","2.33","12562752480"
"215000","골프존","KOSDAQ","IT 서비스","42700","-100","-0.23","267960220500"
"121440","골프존홀딩스","KOSDAQ","유통","4750","-50","-1.04","203474885500"
"366030","공구우먼","KOSDAQ","섬유·의류","5010","160","3.30","113495788500"
"029480","광무","KOSDAQ","전기·전자","1537","13","0.85","91788305884"
"026910","광진실업","KOSDAQ","금속","4425","15","0.34","32859226950"
"465320","교보15호스팩","KOSDAQ","금융","2335","0","0.00","8896350000"
"482520","교보16호스팩","KOSDAQ","금융","2030","5","0.25","12383000000"
"489210","교보17호스팩","KOSDAQ","금융","2065","15","0.73","10696700000"
"0041B0","교보18호스팩","KOSDAQ","금융","2050","-5","-0.24","10332000000"
"0098T0","교보19호스팩","KOSDAQ","금융","2025","-15","-0.74","10935000000"
"0132G0","교보20호스팩","KOSDAQ","금융","1996","1","0.05","11916120000"
"053270","구영테크","KOSDAQ","운송장비·부품","2005","-25","-1.23","54957862025"
"066620","국보디자인","KOSDAQ","건설","24900","-150","-0.60","186750000000"
"043650","국순당","KOSDAQ","음식료·담배","3395","-5","-0.15","60628942080"
"006050","국영지앤엠","KOSDAQ","비금속","599","34","6.02","20902250557"
"060480","국일신동","KOSDAQ","금속","1538","6","0.39","17056420000"
"078130","국일제지","KOSDAQ","종이·목재","3945","130","3.41","444761615715"
"307750","국전","KOSDAQ","제약","2555","45","1.79","137934965840"
"035080","그래디언트","KOSDAQ","유통","8900","-50","-0.56","101738427600"
"318060","그래피","KOSDAQ","화학","23000","550","2.45","256983071000"
"453450","그리드위즈","KOSDAQ","일반서비스","16490","-580","-3.40","130975947500"
"204020","그리티","KOSDAQ","섬유·의류","1950","-24","-1.22","37929122400"
"0015G0","그린광학","KOSDAQ","의료·정밀기기","19970","790","4.12","233699743770"
"402490","그린리소스","KOSDAQ","전기·전자","11390","10","0.09","192892121630"
"114450","그린생명과학","KOSDAQ","제약","2260","110","5.12","45200000000"
"186230","그린플러스","KOSDAQ","금속","3520","40","1.15","38439061760"
"900070","글로벌에스엠","KOSDAQ","금융","1205","58","5.06","32380740720"
"204620","글로벌텍스프리","KOSDAQ","금융","5150","80","1.58","361959149500"
"019660","글로본","KOSDAQ","유통","1955","17","0.88","27261171015"
"053260","금강철강","KOSDAQ","금속","5780","480","9.06","108201600000"
"282720","금양그린파워","KOSDAQ","건설","8790","-250","-2.77","106530405000"
"036190","금화피에스시","KOSDAQ","건설","32450","-250","-0.76","194700000000"
"049080","기가레인","KOSDAQ","전기·전자","993","0","0.00","84289163571"
"420770","기가비스","KOSDAQ","기계·장비","140700","-1200","-0.85","1783479150600"
"035460","기산텔레콤","KOSDAQ","전기·전자","2735","-20","-0.73","40807129900"
"407400","꿈비","KOSDAQ","기타제조","2485","50","2.05","36366816990"
"187790","나노","KOSDAQ","화학","4790","-85","-1.74","147727575700"
"121600","나노신소재","KOSDAQ","화학","60500","-300","-0.49","741348305500"
"286750","나노실리칸첨단소재","KOSDAQ","화학","1557","104","7.16","49868930349"
"247660","나노씨엠에스","KOSDAQ","전기·전자","4050","120","3.05","17592876000"
"039860","나노엔텍","KOSDAQ","의료·정밀기기","4355","-35","-0.80","165895245815"
"091970","나노캠텍","KOSDAQ","화학","3225","380","13.36","24299665500"
"417010","나노팀","KOSDAQ","기계·장비","7270","-400","-5.22","146655732560"
"405920","나라셀라","KOSDAQ","유통","2015","5","0.25","25949323140"
"478340","나라스페이스테크놀로지","KOSDAQ","운송장비·부품","21200","300","1.44","244512129200"
"051490","나라엠앤디","KOSDAQ","기계·장비","2915","0","0.00","41393000000"
"137080","나래나노텍","KOSDAQ","기계·장비","5090","-60","-1.17","56292457980"
"190510","나무가","KOSDAQ","전기·전자","15850","-310","-1.92","223252274450"
"242040","나무기술","KOSDAQ","IT 서비스","7010","-200","-2.77","242589910640"
"293580","나우IB","KOSDAQ","금융","1727","-19","-1.09","163944023650"
"459510","나우로보틱스","KOSDAQ","기계·장비","18750","-240","-1.26","243344662500"
"138610","나이벡","KOSDAQ","제약","19550","730","3.88","222240353150"
"130580","나이스디앤비","KOSDAQ","일반서비스","5570","20","0.36","85778000000"
"036800","나이스정보통신","KOSDAQ","통신","28950","-150","-0.52","289500000000"
"267320","나인테크","KOSDAQ","기계·장비","2700","10","0.37","155021296500"
"111710","남화산업","KOSDAQ","오락·문화","3590","20","0.56","73910920000"
"091590","남화토건","KOSDAQ","건설","3535","40","1.14","41500900000"
"168330","내츄럴엔도텍","KOSDAQ","일반서비스","2170","-70","-3.13","68908133000"
"094860","네오리진","KOSDAQ","IT 서비스","1413","22","1.58","75044449782"
"253590","네오셈","KOSDAQ","기계·장비","13630","240","1.79","597936705320"
"212560","네오오토","KOSDAQ","운송장비·부품","10020","-230","-2.24","118358654820"
"095660","네오위즈","KOSDAQ","IT 서비스","19480","90","0.46","421478221320"
"042420","네오위즈홀딩스","KOSDAQ","IT 서비스","22200","50","0.23","180758682600"
"950220","네오이뮨텍","KOSDAQ","일반서비스","1700","235","16.04","56997396000"
"311390","네오크레마","KOSDAQ","음식료·담배","3170","65","2.09","40112511130"
"085910","네오티스","KOSDAQ","운송장비·부품","28850","700","2.49","397980499300"
"092730","네오팜","KOSDAQ","화학","17600","700","4.14","282092606400"
"153460","네이블","KOSDAQ","IT 서비스","6870","-130","-1.86","44861196180"
"007390","네이처셀","KOSDAQ","제약","32200","1650","5.40","2074808803200"
"033640","네패스","KOSDAQ","전기·전자","37800","-1150","-2.95","871637835600"
"330860","네패스아크","KOSDAQ","일반서비스","51400","-3300","-6.03","626259913000"
"351320","넥사다이내믹스","KOSDAQ","기계·장비","1100","20","1.85","32668506200"
"089140","넥스턴앤롤코리아","KOSDAQ","기계·장비","2290","-135","-5.57","35074175860"
"389650","넥스트바이오메디컬","KOSDAQ","의료·정밀기기","44900","2900","6.90","371650141400"
"137940","넥스트아이","KOSDAQ","의료·정밀기기","1873","-18","-0.95","15989611827"
"396270","넥스트칩","KOSDAQ","전기·전자","3475","-60","-1.70","114283822725"
"348210","넥스틴","KOSDAQ","기계·장비","60000","300","0.50","628620300000"
"225570","넥슨게임즈","KOSDAQ","IT 서비스","9630","-120","-1.23","634233475620"
"205500","넥써쓰","KOSDAQ","IT 서비스","2620","425","19.36","167973699380"
"217270","넵튠","KOSDAQ","IT 서비스","2830","10","0.35","132261869690"
"104620","노랑풍선","KOSDAQ","일반서비스","4125","115","2.87","69343527000"
"473980","노머스","KOSDAQ","오락·문화","12870","40","0.31","142333474140"
"194700","노바렉스","KOSDAQ","음식료·담배","14080","100","0.72","257028259840"
"285490","노바텍","KOSDAQ","기타제조","14690","-140","-0.94","155358957390"
"145170","노브랜드","KOSDAQ","섬유·의류","3670","75","2.09","62053846350"
"106520","노블엠앤비","KOSDAQ","의료·정밀기기","411","0","0.00","15904036272"
"376930","노을","KOSDAQ","의료·정밀기기","819","4","0.49","42007593537"
"486990","노타","KOSDAQ","IT 서비스","26450","-950","-3.47","564607783500"
"142280","녹십자엠에스","KOSDAQ","제약","3585","100","2.87","85907466135"
"234690","녹십자웰빙","KOSDAQ","제약","8500","80","0.95","152687965000"
"069140","누리플랜","KOSDAQ","금속","1694","54","3.29","25572291976"
"040160","누리플렉스","KOSDAQ","IT 서비스","9120","-310","-3.29","109946479200"
"332290","누보","KOSDAQ","화학","1025","12","1.18","40902014100"
"348340","뉴로메카","KOSDAQ","기계·장비","50400","1800","3.70","625421210400"
"380550","뉴로핏","KOSDAQ","IT 서비스","13250","820","6.60","161634974500"
"060260","뉴보텍","KOSDAQ","화학","1440","-5","-0.35","19212992640"
"463020","뉴엔AI","KOSDAQ","IT 서비스","12210","1750","16.73","108415032000"
"123840","뉴온","KOSDAQ","음식료·담배","3235","-25","-0.77","20592166050"
"012340","뉴인텍","KOSDAQ","운송장비·부품","1080","2","0.19","12204336960"
"462310","뉴키즈온","KOSDAQ","섬유·의류","3350","-50","-1.47","27420155350"
"270870","뉴트리","KOSDAQ","음식료·담배","4140","80","1.97","38088927360"
"144960","뉴파워프라즈마","KOSDAQ","기계·장비","8970","10","0.11","391922837280"
"085670","뉴프렉스","KOSDAQ","전기·전자","4110","85","2.11","100698127710"
"064260","다날","KOSDAQ","IT 서비스","5400","10","0.19","408485467800"
"340360","다보링크","KOSDAQ","전기·전자","1328","28","2.15","69139361216"
"039560","다산네트웍스","KOSDAQ","전기·전자","3390","-10","-0.29","145391906520"
"208860","다산디엠씨","KOSDAQ","IT 서비스","975","0","0.00","33101223675"
"154040","다산솔루에타","KOSDAQ","전기·전자","805","0","0.00","14449825670"
"032190","다우데이타","KOSDAQ","유통","19810","-340","-1.69","758723000000"
"323350","다원넥스뷰","KOSDAQ","기계·장비","13920","120","0.87","111509946240"
"068240","다원시스","KOSDAQ","전기·전자","2530","0","0.00","96553495610"
"290660","다이나믹솔루션","KOSDAQ","의료·정밀기기","939","0","0.00","80052794238"
"464580","닷밀","KOSDAQ","오락·문화","1689","-91","-5.11","31087884321"
"020400","대동금속","KOSDAQ","금속","3390","85","2.57","21622545480"
"008830","대동기어","KOSDAQ","기계·장비","13610","-60","-0.44","122320147200"
"048470","대동스틸","KOSDAQ","유통","3065","65","2.17","29577250000"
"004780","대륙제관","KOSDAQ","금속","3995","-30","-0.75","63533280005"
"017650","대림제지","KOSDAQ","종이·목재","8800","-10","-0.11","77308000000"
"389260","대명에너지","KOSDAQ","건설","17870","1320","7.98","320164727750"
"317850","대모","KOSDAQ","기계·장비","7600","-30","-0.39","63265592000"
"290670","대보마그네틱","KOSDAQ","전기·전자","7070","210","3.06","55553656200"
"078140","대봉엘에스","KOSDAQ","제약","8770","150","1.74","97229297830"
"065150","대산F&B","KOSDAQ","유통","1450","0","0.00","23110448000"
"036480","대성미생물","KOSDAQ","제약","6570","140","2.18","24966000000"
"027830","대성창투","KOSDAQ","금융","1173","12","1.03","63342000000"
"129920","대성하이텍","KOSDAQ","기계·장비","6360","-310","-4.65","103341706560"
"471050","대신밸런스제17호스팩","KOSDAQ","금융","2085","-10","-0.48","12635100000"
"482690","대신밸런스제19호스팩","KOSDAQ","금융","2120","-5","-0.24","11903800000"
"0134X0","대신밸런스제20호스팩","KOSDAQ","금융","1982","-1","-0.05","13358680000"
"020180","대신정보통신","KOSDAQ","IT 서비스","1093","10","0.92","42002804095"
"045390","대아티아이","KOSDAQ","전기·전자","3320","-30","-0.90","233971611640"
"108380","대양전기공업","KOSDAQ","운송장비·부품","21000","-250","-1.18","200913993000"
"007680","대원","KOSDAQ","건설","3715","-45","-1.20","49953650910"
"048910","대원미디어","KOSDAQ","유통","5190","40","0.78","65284729740"
"005710","대원산업","KOSDAQ","운송장비·부품","11090","-20","-0.18","222216984000"
"120240","대정화금","KOSDAQ","화학","13850","180","1.32","99586915350"
"003310","대주산업","KOSDAQ","음식료·담배","1881","7","0.37","66573010350"
"078600","대주전자재료","KOSDAQ","전기·전자","119200","-11100","-8.52","1862883466400"
"393970","대진첨단소재","KOSDAQ","화학","2825","0","0.00","50428566500"
"096350","대창솔루션","KOSDAQ","금속","2040","5","0.25","75183714480"
"140520","대창스틸","KOSDAQ","금속","2105","75","3.69","44434956515"
"131220","대한과학","KOSDAQ","유통","3850","70","1.85","28699786500"
"010170","대한광통신","KOSDAQ","전기·전자","18260","-1140","-5.88","2839168151600"
"054670","대한뉴팜","KOSDAQ","제약","5840","30","0.52","83832732800"
"023910","대한약품","KOSDAQ","제약","26600","-100","-0.37","159600000000"
"021040","대호특수강","KOSDAQ","금속","1039","-35","-3.26","22551260186"
"021045","대호특수강우","KOSDAQ","금속","2440","30","1.24","2070320480"
"067080","대화제약","KOSDAQ","제약","11080","630","6.03","206272482000"
"298540","더네이쳐홀딩스","KOSDAQ","섬유·의류","6320","20","0.32","91553959520"
"032860","더라미","KOSDAQ","일반서비스","797","69","9.48","32195502811"
"393890","더블유씨피","KOSDAQ","전기·전자","12900","-230","-1.75","436576557600"
"299170","더블유에스아이","KOSDAQ","유통","1639","39","2.44","68037001032"
"462860","더즌","KOSDAQ","통신","2555","-30","-1.16","183337916265"
"224060","더코디","KOSDAQ","전기·전자","4795","105","2.24","24745661990"
"043090","더테크놀로지","KOSDAQ","유통","1140","0","0.00","4718944500"
"403850","더핑크퐁컴퍼니","KOSDAQ","오락·문화","12380","450","3.77","177665503800"
"213420","덕산네오룩스","KOSDAQ","전기·전자","38000","500","1.33","943584802000"
"317330","덕산테코피아","KOSDAQ","화학","16130","-90","-0.55","330287299920"
"077360","덕산하이메탈","KOSDAQ","전기·전자","14320","-80","-0.56","650657868640"
"090410","덕신이피씨","KOSDAQ","금속","938","17","1.85","43226881110"
"0001A0","덕양에너젠","KOSDAQ","전기·가스·수도","10940","-110","-1.00","272309673300"
"263600","덕우전자","KOSDAQ","전기·전자","4275","-70","-1.61","68102075250"
"194480","데브시스터즈","KOSDAQ","IT 서비스","16380","1120","7.34","198675477000"
"373160","데이원컴퍼니","KOSDAQ","일반서비스","3785","0","0.00","52261270165"
"263800","데이타솔루션","KOSDAQ","유통","4600","65","1.43","74636748000"
"206560","덱스터","KOSDAQ","오락·문화","1505","17","1.14","38244662680"
"261200","덴티스","KOSDAQ","의료·정밀기기","2810","175","6.64","44425257000"
"484120","도우인시스","KOSDAQ","전기·전자","18800","540","2.96","205999533600"
"067990","도이치모터스","KOSDAQ","유통","4325","-15","-0.35","126210203750"
"006620","동구바이오제약","KOSDAQ","제약","4195","90","2.19","119410641440"
"100130","동국S&C","KOSDAQ","금속","1819","-106","-5.51","103943117000"
"005160","동국산업","KOSDAQ","금속","2660","-95","-3.45","144290322120"
"303810","동국생명과학","KOSDAQ","제약","2935","20","0.69","93873450900"
"075970","동국알앤에스","KOSDAQ","비금속","1834","-16","-0.86","33745600000"
"086450","동국제약","KOSDAQ","제약","19700","200","1.03","891039274000"
"240550","동방메디컬","KOSDAQ","의료·정밀기기","6070","190","3.23","127069015800"
"099410","동방선기","KOSDAQ","운송장비·부품","4085","15","0.37","57190000000"
"033500","동성화인텍","KOSDAQ","화학","20200","-50","-0.25","605787778800"
"025950","동신건설","KOSDAQ","건설","12860","-320","-2.43","108024000000"
"088130","동아엘텍","KOSDAQ","기계·장비","6610","-190","-2.79","115577925540"
"060380","동양에스텍","KOSDAQ","금속","1254","0","0.00","24703800000"
"079960","동양이엔피","KOSDAQ","전기·전자","22500","350","1.58","176850000000"
"228340","동양파일","KOSDAQ","비금속","1894","79","4.35","37880000000"
"088910","동우팜투테이블","KOSDAQ","음식료·담배","2390","10","0.42","61737915960"
"094170","동운아나텍","KOSDAQ","전기·전자","37600","-250","-0.66","786213593600"
"013120","동원개발","KOSDAQ","건설","2345","-10","-0.42","212944994500"
"109860","동일금속","KOSDAQ","금속","7350","50","0.68","66885000000"
"032960","동일기연","KOSDAQ","전기·전자","11530","-40","-0.35","40569400350"
"023790","동일스틸럭스","KOSDAQ","금속","1523","351","29.95","19905317584"
"005290","동진쎄미켐","KOSDAQ","화학","64500","4200","6.97","3287573127000"
"025900","동화기업","KOSDAQ","종이·목재","8060","-20","-0.25","407491717100"
"131970","두산테스나","KOSDAQ","일반서비스","146700","-3600","-2.40","2835305814600"
"073190","듀오백","KOSDAQ","기타제조","1252","80","6.83","14983986080"
"176750","듀켐바이오","KOSDAQ","제약","6600","-230","-3.37","188025552000"
"030350","드래곤플라이","KOSDAQ","IT 서비스","973","0","0.00","15171092867"
"203650","드림시큐리티","KOSDAQ","IT 서비스","2960","-50","-1.66","301045272640"
"223250","드림씨아이에스","KOSDAQ","일반서비스","3945","15","0.38","97048751580"
"060570","드림어스컴퍼니","KOSDAQ","오락·문화","907","0","0.00","67210126711"
"362990","드림인사이트","KOSDAQ","일반서비스","1193","5","0.42","20043084782"
"016670","디모아","KOSDAQ","유통","2635","-40","-1.50","26861806590"
"187870","디바이스","KOSDAQ","기계·장비","21850","-1050","-4.59","300875811000"
"489730","디비금융제13호스팩","KOSDAQ","금융","2025","5","0.25","12822300000"
"0004Y0","디비금융제14호스팩","KOSDAQ","금융","2005","-5","-0.25","10656575000"
"110990","디아이티","KOSDAQ","기계·장비","24500","750","3.16","463050000000"
"263690","디알젬","KOSDAQ","의료·정밀기기","5350","80","1.52","60592013500"
"214680","디알텍","KOSDAQ","의료·정밀기기","1293","12","0.94","107935833408"
"347850","디앤디파마텍","KOSDAQ","일반서비스","108100","16500","18.01","4735228290700"
